Person ID,weight,BIRTHDAY,Gender,Number_of children,People_in_Household
5326201,11032.10,19971001,male,0,2-HH
256895,2581.77,19730701,female,0,2-HH
7894945,8219.48,19870201,male,1 child,3-HH
797459,6040.79,19870401,male,2 Children,4-HH
5529182,11635.16,19971001,male,0,2-HH
17687,13456.38,19980401,female,0,2-HH
62098432,3881.71,19870201,female,0,1 -HH (female)
56489362,3993.45,19730501,female,0,2-HH
275140,6353.90,19341201,male,0,1-HH (male)
666280698,2966.01,19560501,male,0,2-HH
383902,4532.89,19510601,female,0,1 -HH (female)
28346661,5642.40,19551201,female,0,3-HH
1929,1694.22,19600301,female,0,1 -HH (female)
49287,3733.55,19511001,male,0,1-HH (male)
986071,3497.05,19750201,male,0,2-HH
9755,5246.94,19680701,male,0,3-HH
309489,#NULL!,19550901,male,0,3-HH
470295649,5083.80,19600601,female,0,2-HH
573334418,6843.12,19650701,male,0,2-HH
654579,6020.17,19660401,male,0,1-HH (male)
93971183,8267.02,19620201,male,0,2-HH
25722207,2739.54,19610501,female,0,2-HH
21581,3677.64,19470901,male,0,2-HH
9825112,2079.74,19550701,female,0,2-HH
2230252,3143.52,19910401,male,0,1-HH (male)
490838225,2578.70,19631101,male,0,2-HH
4011,2363.40,19351201,male,0,1-HH (male)
39008188,8121.38,19691101,female,0,6-HH
291120793,6431.23,19890101,female,0,3-HH
9186074,6465.01,19630201,male,0,1-HH (male)
848585147,2131.09,19571001,female,0,2-HH
25337165,6495.48,19440701,female,0,2-HH
6454823,4507.59,19551201,female,0,2-HH
35281,4696.31,19880401,female,0,1 -HH (female)
633015,2966.01,19621001,male,0,2-HH
589654550,1440.42,19540801,female,0,2-HH
288808,2220.69,19491201,female,0,2-HH
9536778,718.05,19370101,female,0,1 -HH (female)
231691,5246.94,19701001,male,0,3-HH
24452,5146.83,19760801,female,0,3-HH
958,#NULL!,19650201,male,0,3-HH
50711,4830.85,19910101,male,0,2-HH
4427,1112.79,19610101,female,0,1 -HH (female)
40216985,5032.45,19510801,female,0,2-HH
72513819,#NULL!,19661201,male,0,4-HH
5672,3900.77,19801101,male,0,5-HH
21669981,2911.74,19501201,male,0,1-HH (male)
536242280,1134.41,19550501,female,0,2-HH
864998,3900.77,19780601,male,0,5-HH
